First	    Last	        Age	    Checking	Savings
Kathi	    Egan	        53	    1690.58	    456365.64
Olive	    Popp	        37	    1831.08	    345004.43
Danielle	Calender	    22	    1443.41	    98275.67
Renato	    Mumaw	        52	    307.79	    12727.22
Art	        Loud	        41	    1448.32	    96794.33
Maxima	    Turner	        44	    3574.08	    23022.60
Sheilah	    Nitta	        46	    2494.42	    572830.57
Ellena	    Primus	        74	    2536.70	    81760.37
Bethany	    Monson	        7	    1268.63	    304820.58
Mariko	    Redfield	    45	    227.47	    1874.48
Sina	    Schram	        42	    1274.47	    275682.36
Juliet	    Zane	        24	    369.85	    243928.40
Contessa	Munsey	        75	    1466.51	    81766.18
Gaston	    Gladson	        57	    4166.17	    51551.42
Kelly	    Fitzhugh	    35	    3524.32	    119294.44
Loren	    Laxson	        25	    1147.96	    524617.71
Melodie	    Fleet	        39	    2537.14	    10911.56
Wesley	    Fontanez	    72	    1097.33	    191729.04
Essie	    Helland	        15	    1760.04	    321575.23
Elinore	    Dennard	        68	    2602.56	    223862.25
Lolita	    Creamer	        33	    1323.37	    1141.21
Eugenio	    Kopp	        5	    564.49	    16870.49
Lorrie	    Wittig	        67	    1458.52	    674047.13
Nenita	    Holub	        43	    3239.85	    123214.65
Werner	    Brocious	    9	    362.68	    20177.31
Heriberto	Hassinger	    49	    3338.64	    204888.58
Cherise	    Folts	        69	    3948.63	    339951.51
Julie	    Wunsch	        23	    3654.23	    732474.11
Syreeta	    Silverstein	    78	    1116.19	    322621.58
Romelia	    Sill	        36	    798.98	    966078.11
					
